product_id,product_code,product_name,issuer,risk_level,product_type,currency,investment_period,min_investment,start_date,end_date,product_category,income_type,nav_date,initial_nav,accumulated_nav,current_nav
1000018730,Z7003324000976,平安理财天天成长3号82期现金管理类理财产品,平安理财有限责任公司,一级(低),固定收益类,人民币(CNY),每日,0.01,2025/03/20,9999/12/31,03,03,2025-05-16,1.0,1.00251,1.0
1000018731,Z7003324000977,平安理财天天成长3号83期现金管理类理财产品,平安理财有限责任公司,一级(低),固定收益类,人民币(CNY),每日,0.01,2025/03/20,9999/12/31,03,03,2025-05-16,1.0,1.00163,1.0
1000018735,Z7003324000980,平安理财天天成长3号86期现金管理类理财产品,平安理财有限责任公司,一级(低),固定收益类,人民币(CNY),每日,0.01,2025/03/21,9999/12/31,03,03,2025-05-16,1.0,1.00175,1.0
1000018736,Z7003324000981,平安理财天天成长3号87期现金管理类理财产品,平安理财有限责任公司,一级(低),固定收益类,人民币(CNY),每日,0.01,2025/03/21,9999/12/31,03,03,2025-05-16,1.0,1.00175,1.0
1000018739,Z7003324000983,平安理财天天成长3号89期现金管理类理财产品,平安理财有限责任公司,一级(低),固定收益类,人民币(CNY),每日,0.01,2025/03/21,9999/12/31,03,03,2025-05-16,1.0,1.00175,1.0
1000018743,Z7003324000984,平安理财天天成长3号90期现金管理类理财产品,平安理财有限责任公司,一级(低),固定收益类,人民币(CNY),每日,0.01,2025/03/21,9999/12/31,03,03,2025-05-16,1.0,1.00175,1.0
1000018748,Z7003324000989,平安理财天天成长3号95期现金管理类理财产品,平安理财有限责任公司,一级(低),固定收益类,人民币(CNY),每日,0.01,2025/03/06,9999/12/31,03,03,2025-05-16,1.0,1.00408,1.0
1000019120,C1438125000001,净值型系列封闭式第429期人民币理财产品,四川银行股份有限公司,二级(中低),固定收益类,人民币(CNY),3-6个月(含),10000,2025/05/20,2025/08/26,01,03,,,,
1000022917,Z7001024000964,（机构专属）中银理财-乐享天天11号,中银理财有限责任公司,一级(低),固定收益类,人民币(CNY),每日,0.01,2025/03/18,2099/12/31,03,03,2025-05-16,1.0,1.0,1.0
1000022918,Z7001024000965,（机构专属）中银理财-乐享天天12号,中银理财有限责任公司,一级(低),固定收益类,人民币(CNY),每日,0.01,2025/04/25,2099/12/31,03,03,2025-05-16,1.0,1.0,1.0
