id,product_id,product_code,product_name,issuer,issuer_code,risk_level,risk_level_code,product_type,product_type_code,currency,investment_period,min_investment,sale_status,sale_regions,start_date,end_date,product_category,income_type,sale_method,crawl_time,created_at,updated_at
1,144270,C1010207000004,基金股票双重精选人民币理财产品2007年第2期,中国工商银行股份有限公司,C10102,一级(低),01,N/A,NA,人民币(CNY),7天-1个月(含),100000,09,"北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区,台湾,香港,澳门,大连市,宁波市,厦门市,青岛市,深圳市",2008/01/18,9999/12/31,03,03,02,2025-05-16 15:56:39,2025-05-16 15:56:39.043279,2025-05-16 15:56:39.043285
2,1798373,C1091918000365,云南红塔银行“红塔财富”筑梦系列天天复盈开放式净值型人民币理财产品,云南红塔银行股份有限公司,C10919,一级(低),01,N/A,NA,人民币(CNY),每日,10000,09,全国,2018/12/12,2099/12/31,03,03,02,2025-05-16 15:56:39,2025-05-16 15:56:39.045052,2025-05-16 15:56:39.045056
3,144271,C1010207000003,基金股票双重精选人民币理财产品2007年第1期,中国工商银行股份有限公司,C10102,一级(低),01,N/A,NA,人民币(CNY),7天-1个月(含),100000,09,"北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区,台湾,香港,澳门,大连市,宁波市,厦门市,青岛市,深圳市",2007/12/20,9999/12/31,03,03,02,2025-05-16 15:56:39,2025-05-16 15:56:39.045983,2025-05-16 15:56:39.045986
4,1897810,C1080919000244,红玫瑰添元理财产品第1期,盛京银行股份有限公司,C10809,二级(中低),02,N/A,NA,人民币(CNY),每日,50000,09,"北京市,天津市,辽宁省,吉林省,上海市,大连市",2019/04/25,2099/12/31,03,03,02,2025-05-16 15:56:39,2025-05-16 15:56:39.046898,2025-05-16 15:56:39.046901
5,1733832,C1092918000192,人生盈家35天型,浙江泰隆商业银行股份有限公司,C10929,二级(中低),02,N/A,NA,人民币(CNY),每日,50000,09,"上海市,江苏省,浙江省",2018/08/30,2099/12/31,03,03,02,2025-05-16 15:56:39,2025-05-16 15:56:39.047813,2025-05-16 15:56:39.047816
6,787952,C1050415000081,代客境外理财产品(海外基金系列)- 贝莱德环球企业债券基金（美元）,恒生银行（中国）有限公司,C10504,二级(中低),02,固定收益类,01,美元(USD),每日,20000,09,"北京市,上海市,浙江省,福建省,广东省,深圳市",2015/03/23,2999/12/31,03,03,02,2025-05-16 15:56:39,2025-05-16 15:56:39.048728,2025-05-16 15:56:39.048731
7,1337256,C3042717000006,厦门农商银行-丰沃2号债券投资理财计划,厦门农村商业银行股份有限公司,C12434,二级(中低),02,N/A,NA,人民币(CNY),6-12个月(含),50000,09,全国,2017/07/20,2099/12/31,03,03,02,2025-05-16 15:56:39,2025-05-16 15:56:39.049639,2025-05-16 15:56:39.049642
8,787951,C1050415000080,代客境外理财产品(海外基金系列)- 贝莱德环球企业债券基金（美元-人民币）,恒生银行（中国）有限公司,C10504,二级(中低),02,固定收益类,01,人民币(CNY),每日,100000,09,"北京市,上海市,浙江省,福建省,广东省,深圳市",2015/03/23,2999/12/31,03,03,02,2025-05-16 15:56:39,2025-05-16 15:56:39.050548,2025-05-16 15:56:39.050551
9,1733623,C1092918000191,天添向上2号,浙江泰隆商业银行股份有限公司,C10929,二级(中低),02,N/A,NA,人民币(CNY),每日,50000,09,"上海市,江苏省,浙江省",2018/08/30,2050/12/30,03,03,02,2025-05-16 15:56:39,2025-05-16 15:56:39.051459,2025-05-16 15:56:39.051462
10,1055151,C1136016000054,2016年“融智理财·天天添利净值型”人民币理财产品,湖南银行股份有限公司,C11360,二级(中低),02,N/A,NA,人民币(CNY),每日,10000,09,湖南省,2016/06/01,2099/12/31,03,03,02,2025-05-16 15:56:39,2025-05-16 15:56:39.052368,2025-05-16 15:56:39.052371
