id,product_id,product_code,product_name,issuer,issuer_code,risk_level,risk_level_code,product_type,product_type_code,currency,investment_period,min_investment,sale_status,sale_regions,start_date,end_date,product_category,income_type,sale_method,crawl_time,created_at,updated_at
107,1000049223,C1081025000084,大连银行鲲鹏理财汇享封闭净值型理财产品2025年第35期,大连银行股份有限公司,C10810,二级(中低),02,固定收益类,01,人民币(CNY),1-3年(含),10000,05,"江苏省,北京市,天津市,辽宁省,上海市,重庆市,四川省",2025/05/23,2026/06/09,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.271360,2025-05-16 18:43:20.239228
243,1000049231,C1081025000092,大连银行鲲鹏理财汇享封闭净值型理财产品2025年第47期（苏州银行）,大连银行股份有限公司,C10810,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,"江苏省,北京市,天津市,辽宁省,上海市,重庆市,四川省",2025/05/22,2025/12/05,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.367455,2025-05-16 18:43:20.333661
236,1000050535,C1081225000034,抚顺银行启运鑫基汇系列理财计划2025年第36期,抚顺银行股份有限公司,C10812,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,辽宁省,2025/05/20,2026/05/20,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.362101,2025-05-16 18:43:20.328667
235,1000050536,C1081225000035,抚顺银行启运鑫基汇系列理财计划2025年第35期,抚顺银行股份有限公司,C10812,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,辽宁省,2025/05/20,2025/11/19,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.361430,2025-05-16 18:43:20.327926
234,1000050537,C1081225000036,抚顺银行启运鑫基汇系列理财计划2025年第34期,抚顺银行股份有限公司,C10812,二级(中低),02,固定收益类,01,人民币(CNY),1-3个月(含),10000,05,辽宁省,2025/05/20,2025/08/20,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.360760,2025-05-16 18:43:20.327234
409,1000051404,C1081325000034,丹东银行“银杏理财”第20256033期理财产品,丹东银行股份有限公司,C10813,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,"辽宁省,大连市",2025/05/20,2025/11/19,01,03,01,2025-05-16 18:43:12,2025-05-16 18:10:05.483886,2025-05-16 18:43:20.452983
401,1000040481,C1081525000006,渤海聚盈系列2025第56期理财产品,营口银行股份有限公司,C10815,二级(中低),02,固定收益类,01,人民币(CNY),3-6个月(含),10000,05,"辽宁省,黑龙江省",2025/05/21,2025/11/19,01,03,01,2025-05-16 18:43:12,2025-05-16 18:10:05.477838,2025-05-16 18:43:20.446903
172,1000040491,C1081525000016,渤海聚盈系列2025第57期理财产品,营口银行股份有限公司,C10815,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,"辽宁省,黑龙江省",2025/05/21,2026/05/20,01,03,01,2025-05-16 18:42:52,2025-05-16 18:10:05.316792,2025-05-16 18:43:20.284634
400,1000040500,C1081525000025,渤海聚盈系列2025第55期理财产品,营口银行股份有限公司,C10815,二级(中低),02,固定收益类,01,人民币(CNY),1-3个月(含),10000,05,"辽宁省,黑龙江省",2025/05/21,2025/08/20,01,03,01,2025-05-16 18:43:06,2025-05-16 18:10:05.477155,2025-05-16 18:43:20.446093
291,1000044521,C1082225000015,海蕴理财优选系列恒利1号2025年第21期,福建海峡银行股份有限公司,C10822,二级(中低),02,固定收益类,01,人民币(CNY),6-12个月(含),10000,05,"北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区,大连市,宁波市,厦门市,青岛市,深圳市,香港,澳门,台湾,其他国家或地区",2025/05/22,2026/04/07,01,03,01,2025-05-16 18:42:58,2025-05-16 18:10:05.401208,2025-05-16 18:43:20.368415
