id,product_id,product_code,product_name,nav_date,initial_nav,accumulated_nav,current_nav,is_updated,last_update_date,crawl_time,created_at,updated_at
118,1000018730,Z7003324000976,平安理财天天成长3号82期现金管理类理财产品,2025-05-16,1.0,1.00251,1.0,0,,,2025-05-16 14:12:14.883340,2025-05-16 14:12:14.883343
117,1000018731,Z7003324000977,平安理财天天成长3号83期现金管理类理财产品,2025-05-16,1.0,1.00163,1.0,0,,,2025-05-16 14:12:14.882588,2025-05-16 14:12:14.882591
115,1000018735,Z7003324000980,平安理财天天成长3号86期现金管理类理财产品,2025-05-16,1.0,1.00175,1.0,0,,,2025-05-16 14:12:14.880849,2025-05-16 14:12:14.880851
114,1000018736,Z7003324000981,平安理财天天成长3号87期现金管理类理财产品,2025-05-16,1.0,1.00175,1.0,0,,,2025-05-16 14:12:14.879922,2025-05-16 14:12:14.879925
113,1000018739,Z7003324000983,平安理财天天成长3号89期现金管理类理财产品,2025-05-16,1.0,1.00175,1.0,0,,,2025-05-16 14:12:14.878946,2025-05-16 14:12:14.878948
112,1000018743,Z7003324000984,平安理财天天成长3号90期现金管理类理财产品,2025-05-16,1.0,1.00175,1.0,0,,,2025-05-16 14:12:14.878174,2025-05-16 14:12:14.878177
138,1000018748,Z7003324000989,平安理财天天成长3号95期现金管理类理财产品,2025-05-16,1.0,1.00408,1.0,0,,,2025-05-16 14:12:14.899865,2025-05-16 14:12:14.899868
124,1000022917,Z7001024000964,（机构专属）中银理财-乐享天天11号,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 14:12:14.887577,2025-05-16 14:12:14.887579
33,1000022918,Z7001024000965,（机构专属）中银理财-乐享天天12号,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 14:12:14.798373,2025-05-16 14:12:14.798376
19,1000024047,Z7006624000117,广银理财鎏金日日薪23号现金管理类理财产品,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 14:12:14.782894,2025-05-16 14:12:14.782897
132,1000024935,Z7001624001122,招银理财招赢日日金73号现金管理类理财计划,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 14:12:14.894431,2025-05-16 14:12:14.894434
111,1000026585,Z7001624001172,招银理财招赢日日金75号现金管理类理财计划,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 14:12:14.877329,2025-05-16 14:12:14.877332
134,1000026716,Z7001424001155,阳光碧乐活114号,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 14:12:14.896260,2025-05-16 14:12:14.896263
89,1000028611,Z7001024001038,中银理财-惠享天天21号,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 14:12:14.857738,2025-05-16 14:12:14.857742
139,1000030829,Z7002024003341,兴银理财稳添利日盈增利85号日开固收类理财产品,2025-05-16,1.0,1.00522,1.00522,0,,,2025-05-16 14:12:14.900641,2025-05-16 14:12:14.900644
147,1000031918,Z7002025000018,兴银理财稳添利ESG日盈增利83号日开固收类理财产品,2025-05-16,1.0,1.01349,1.01349,0,,,2025-05-16 14:12:14.907096,2025-05-16 14:12:14.907099
141,1000033729,Z7002425000038,徽银理财徽安现金管理类理财产品39号,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 14:12:14.902305,2025-05-16 14:12:14.902307
146,1000034117,Z7007925000053,民生理财天天增利现金管理182号理财产品,2025-05-16,1.0,1.00378,1.0,0,,,2025-05-16 14:12:14.906477,2025-05-16 14:12:14.906480
116,1000034623,Z7002025000120,兴银理财添利天天利48号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 14:12:14.881776,2025-05-16 14:12:14.881779
131,1000034624,Z7002025000121,兴银理财添利天天利51号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 14:12:14.893572,2025-05-16 14:12:14.893575
107,1000034626,Z7002025000123,兴银理财添利天天利44号现金管理型理财产品,2025-05-16,1.0,1.0,1.0,0,,,2025-05-16 14:12:14.874047,2025-05-16 14:12:14.874050
